X [s],Quattro sensor 9: EMG.A 9 [V],X [s],Quattro sensor 9: EMG.B 9 [V],X [s],Quattro sensor 9: EMG.C 9 [V],X [s],Quattro sensor 9: EMG.D 9 [V],X [s],Quattro sensor 9: ACC.X 9 [g],X [s],Quattro sensor 9: ACC.Y 9 [g],X [s],Quattro sensor 9: ACC.Z 9 [g],X [s],Quattro sensor 9: GYRO.X 9 [�/,X [s],Quattro sensor 9: GYRO.Y 9 [�/,X [s],Quattro sensor 9: GYRO.Z 9 [�/
0.046730769,0,0.046730769,0,0.046730769,0,0.046730769,0,0.30375,0.265625,0.30375,-0.96875,0.30375,0.28125,0.30375,11.23664093,0.30375,8.305343628,0.30375,-2.44274807
0.047769231,0,0.047769231,0,0.047769231,0,0.047769231,0,0.3105,0.265625,0.3105,-0.890625,0.3105,0.3125,0.3105,13.19083977,0.3105,8.305343628,0.3105,1.46564889
0.048807692,0,0.048807692,0,0.048807692,0,0.048807692,0,0.31725,0.234375,0.31725,-0.90625,0.31725,0.234375,0.31725,12.21374035,0.31725,9.770992279,0.31725,0.48854962
0.049846154,0,0.049846154,0,0.049846154,0,0.049846154,0,0.324,0.296875,0.324,-0.96875,0.324,0.203125,0.324,12.21374035,0.324,10.7480917,0.324,0.48854962
0.050884615,0,0.050884615,0,0.050884615,0,0.050884615,0,0.33075,0.3125,0.33075,-0.953125,0.33075,0.234375,0.33075,13.19083977,0.33075,11.72519112,0.33075,3.41984725
0.051923077,0,0.051923077,0,0.051923077,0,0.051923077,0,0.3375,0.3125,0.3375,-0.984375,0.3375,0.25,0.3375,14.16793919,0.3375,13.679389,0.3375,4.39694643
0.052961538,0,0.052961538,0,0.052961538,0,0.052961538,0,0.34425,0.28125,0.34425,-0.953125,0.34425,0.390625,0.34425,16.12213707,0.34425,14.16793919,0.34425,6.351145267
0.054,0,0.054,0,0.054,0,0.054,0,0.351,0.203125,0.351,-0.890625,0.351,0.34375,0.351,15.1450386,0.351,15.63358784,0.351,3.908396959
0.055038462,0,0.055038462,0,0.055038462,0,0.055038462,0,0.35775,0.21875,0.35775,-0.96875,0.35775,0.1875,0.35775,14.16793919,0.35775,16.12213707,0.35775,3.41984725
0.056076923,0,0.056076923,0,0.056076923,0,0.056076923,0,0.3645,0.25,0.3645,-0.984375,0.3645,0.34375,0.3645,16.61068726,0.3645,15.1450386,0.3645,3.908396959
0.057115385,0,0.057115385,0,0.057115385,0,0.057115385,0,0.37125,0.203125,0.37125,-0.90625,0.37125,0.359375,0.37125,19.05343437,0.37125,14.65648842,0.37125,7.328244209
0.058153846,0,0.058153846,0,0.058153846,0,0.058153846,0,0.378,0.21875,0.378,-1,0.378,0.234375,0.378,17.09923744,0.378,15.1450386,0.378,3.41984725
0.059192308,0,0.059192308,0,0.059192308,0,0.059192308,0,0.38475,0.265625,0.38475,-1.03125,0.38475,0.203125,0.38475,17.58778572,0.38475,14.16793919,0.38475,3.908396959
0.060230769,0,0.060230769,0,0.060230769,0,0.060230769,0,0.3915,0.28125,0.3915,-1,0.3915,0.25,0.3915,19.54198456,0.3915,12.70229053,0.3915,6.351145267
0.061269231,0,0.061269231,0,0.061269231,0,0.061269231,0,0.39825,0.265625,0.39825,-1.03125,0.39825,0.328125,0.39825,19.54198456,0.39825,13.19083977,0.39825,7.816793919
0.062307692,0,0.062307692,0,0.062307692,0,0.062307692,0,0.405,0.1875,0.405,-0.96875,0.405,0.390625,0.405,20.51908302,0.405,12.70229053,0.405,7.328244209
0.063346154,0,0.063346154,0,0.063346154,0,0.063346154,0,0.41175,0.140625,0.41175,-0.953125,0.41175,0.234375,0.41175,19.05343437,0.41175,11.23664093,0.41175,8.305343628
0.064384615,0,0.064384615,0,0.064384615,0,0.064384615,0,0.4185,0.1875,0.4185,-1.03125,0.4185,0.21875,0.4185,19.54198456,0.4185,8.305343628,0.4185,6.8396945
0.065423077,0,0.065423077,0,0.065423077,0,0.065423077,0,0.42525,0.21875,0.42525,-1.015625,0.42525,0.390625,0.42525,22.96183205,0.42525,7.328244209,0.42525,8.79389286
0.066461538,0,0.066461538,0,0.066461538,0,0.066461538,0,0.432,0.1875,0.432,-0.953125,0.432,0.390625,0.432,21.4961834,0.432,5.862595558,0.432,9.282443047
0.0675,0,0.0675,0,0.0675,0,0.0675,0,0.43875,0.234375,0.43875,-1.046875,0.43875,0.25,0.43875,20.51908302,0.43875,4.88549614,0.43875,7.816793919
0.068538462,0,0.068538462,0,0.068538462,0,0.068538462,0,0.4455,0.328125,0.4455,-1.109375,0.4455,0.3125,0.4455,24.91603088,0.4455,7.816793919,0.4455,12.21374035
0.069576923,0,0.069576923,0,0.069576923,0,0.069576923,0,0.45225,0.390625,0.45225,-1.03125,0.45225,0.34375,0.45225,27.84732819,0.45225,13.19083977,0.45225,17.09923744
0.070615385,0,0.070615385,0,0.070615385,0,0.070615385,0,0.459,0.390625,0.459,-1.171875,0.459,0.34375,0.459,35.17557144,0.459,21.00763321,0.459,21.4961834
0.071653846,0,0.071653846,0,0.071653846,0,0.071653846,0,0.46575,0.109375,0.46575,-1.1875,0.46575,0.40625,0.46575,41.52671814,0.46575,21.4961834,0.46575,21.4961834
0.072692308,0,0.072692308,0,0.072692308,0,0.072692308,0,0.4725,0.078125,0.4725,-1.21875,0.4725,0.5625,0.4725,51.7862587,0.4725,13.679389,0.4725,21.4961834
0.073730769,0,0.073730769,0,0.073730769,0,0.073730769,0,0.47925,0.453125,0.47925,-1.546875,0.47925,0.578125,0.47925,62.53435135,0.47925,6.351145267,0.47925,19.54198456
0.074769231,0,0.074769231,0,0.074769231,0,0.074769231,0,0.486,0.890625,0.486,-1.25,0.486,0.15625,0.486,78.65648651,0.486,8.305343628,0.486,18.07633591
0.075807692,0,0.075807692,0,0.075807692,0,0.075807692,0,0.49275,0.6875,0.49275,-1.265625,0.49275,0.203125,0.49275,79.14503479,0.49275,23.45038223,0.49275,4.39694643
0.076846154,0,0.076846154,0,0.076846154,0,0.076846154,0,0.4995,0.453125,0.4995,-1.578125,0.4995,0.25,0.4995,77.67938995,0.4995,31.75572586,0.4995,0.97709924
0.077884615,0,0.077884615,0,0.077884615,0,0.077884615,0,0.50625,0.5625,0.50625,-1.59375,0.50625,0.296875,0.50625,91.35877991,0.50625,32.24427414,0.50625,-3.908396959
0.078923077,0,0.078923077,0,0.078923077,0,0.078923077,0,0.513,0.5625,0.513,-1.578125,0.513,0.515625,0.513,99.66412354,0.513,42.01526642,0.513,-8.305343628
0.079961538,0,0.079961538,0,0.079961538,0,0.079961538,0,0.51975,0.46875,0.51975,-1.875,0.51975,0.796875,0.51975,107.9694672,0.51975,52.76335907,0.51975,-10.7480917
0.081,0,0.081,0,0.081,0,0.081,0,0.5265,0.484375,0.5265,-2.015625,0.5265,0.859375,0.5265,129.4656525,0.5265,56.18320465,0.5265,-18.56488609
0.082038462,0,0.082038462,0,0.082038462,0,0.082038462,0,0.53325,0.53125,0.53325,-2.015625,0.53325,0.640625,0.53325,150.4732819,0.53325,61.0687027,0.53325,-25.89312935
0.083076923,0,0.083076923,0,0.083076923,0,0.083076923,0,0.54,0.59375,0.54,-2,0.54,0.390625,0.54,160.7328186,0.54,68.88549805,0.54,-29.31297684
0.084115385,0,0.084115385,0,0.084115385,0,0.084115385,0,0.54675,0.671875,0.54675,-2.25,0.54675,0.40625,0.54675,177.8320618,0.54675,85.00763702,0.54675,-38.10686874
0.085153846,0,0.085153846,0,0.085153846,0,0.085153846,0,0.5535,0.484375,0.5535,-2.28125,0.5535,0.21875,0.5535,199.8167877,0.5535,90.38167572,0.5535,-43.48091507
0.086192308,0,0.086192308,0,0.086192308,0,0.086192308,0,0.56025,0.53125,0.56025,-2.140625,0.56025,0.078125,0.56025,212.5190887,0.56025,95.26717377,0.56025,-46.41221237
0.087230769,0,0.087230769,0,0.087230769,0,0.087230769,0,0.567,0.703125,0.567,-2.234375,0.567,0.21875,0.567,226.687027,0.567,111.3893127,0.567,-58.1374054
0.088269231,0,0.088269231,0,0.088269231,0,0.088269231,0,0.57375,0.671875,0.57375,-2.28125,0.57375,0.21875,0.57375,239.3893127,0.57375,121.1603088,0.57375,-66.44274902
0.089307692,0,0.089307692,0,0.089307692,0,0.089307692,0,0.5805,0.609375,0.5805,-2.09375,0.5805,0.0625,0.5805,249.6488495,0.5805,139.2366486,0.5805,-70.35114288
0.090346154,0,0.090346154,0,0.090346154,0,0.090346154,0,0.58725,0.515625,0.58725,-2.046875,0.58725,-0.109375,0.58725,249.6488495,0.58725,154.3816833,0.58725,-62.04580307
0.091384615,0,0.091384615,0,0.091384615,0,0.091384615,0,0.594,0.3125,0.594,-1.890625,0.594,-0.28125,0.594,249.6488495,0.594,168.5496216,0.594,-49.34350967
0.092423077,0,0.092423077,0,0.092423077,0,0.092423077,0,0.60075,0.203125,0.60075,-1.765625,0.60075,-0.28125,0.60075,249.6488495,0.60075,173.4351196,0.60075,-28.82442665
0.093461538,0,0.093461538,0,0.093461538,0,0.093461538,0,0.6075,0.140625,0.6075,-1.65625,0.6075,0.015625,0.6075,249.6488495,0.6075,169.0381622,0.6075,0.97709924
0.0945,0,0.0945,0,0.0945,0,0.0945,0,0.61425,0.109375,0.61425,-1.515625,0.61425,0.3125,0.61425,249.6488495,0.61425,158.2900696,0.61425,24.4274807
0.095538462,0,0.095538462,0,0.095538462,0,0.095538462,0,0.621,-0.078125,0.621,-1.046875,0.621,0.359375,0.621,249.6488495,0.621,128.4885559,0.621,51.7862587
0.096576923,0,0.096576923,0,0.096576923,0,0.096576923,0,0.62775,0.03125,0.62775,-0.78125,0.62775,0.109375,0.62775,249.6488495,0.62775,77.67938995,0.62775,79.6335907
0.097615385,0,0.097615385,0,0.097615385,0,0.097615385,0,0.6345,0.390625,0.6345,-0.734375,0.6345,-0.140625,0.6345,249.6488495,0.6345,21.4961834,0.6345,93.80152893
0.098653846,0,0.098653846,0,0.098653846,0,0.098653846,0,0.64125,1.578125,0.64125,-0.53125,0.64125,-0.640625,0.64125,222.2900696,0.64125,9.282443047,0.64125,60.58015442
0.099692308,0,0.099692308,0,0.099692308,0,0.099692308,0,0.648,2.109375,0.648,-0.015625,0.648,-0.984375,0.648,165.129776,0.648,64.48854828,0.648,19.54198456
0.100730769,0,0.100730769,0,0.100730769,0,0.100730769,0,0.65475,1.71875,0.65475,-0.109375,0.65475,-1.0625,0.65475,109.435112,0.65475,118.7175598,0.65475,-4.39694643
0.101769231,0,0.101769231,0,0.101769231,0,0.101769231,0,0.6615,1.03125,0.6615,-0.34375,0.6615,-1.015625,0.6615,78.16793823,0.6615,129.4656525,0.6615,-14.16793919
0.102807692,0,0.102807692,0,0.102807692,0,0.102807692,0,0.66825,0.796875,0.66825,-0.203125,0.66825,-1.015625,0.66825,49.34350967,0.66825,128.9770966,0.66825,-11.23664093
0.103846154,0,0.103846154,0,0.103846154,0,0.103846154,0,0.675,0.71875,0.675,-0.140625,0.675,-0.96875,0.675,33.70992279,0.675,131.9084015,0.675,-9.770992279
0.104884615,0,0.104884615,0,0.104884615,0,0.104884615,0,0.68175,0.359375,0.68175,-0.234375,0.68175,-0.859375,0.68175,4.88549614,0.68175,144.6106873,0.68175,-9.770992279
0.105923077,0,0.105923077,0,0.105923077,0,0.105923077,0,0.6885,0,0.6885,-0.328125,0.6885,-0.75,0.6885,-14.65648842,0.6885,138.7480927,0.6885,-4.39694643
0.106961538,0,0.106961538,0,0.106961538,0,0.106961538,0,0.69525,0.015625,0.69525,-0.359375,0.69525,-0.671875,0.69525,-24.91603088,0.69525,113.8320618,0.69525,7.328244209
0.108,-0.000475853,0.108,0.000168185,0.108,0.000123369,0.108,-0.000335698,0.702,0.09375,0.702,-0.34375,0.702,-0.640625,0.702,-32.73282623,0.702,94.29007721,0.702,12.70229053
0.109038462,-0.000412909,0.109038462,0.000186984,0.109038462,9.15E-05,0.109038462,-0.000246235,0.70875,0.0625,0.70875,-0.3125,0.70875,-0.625,0.70875,-42.01526642,0.70875,79.14503479,0.70875,6.8396945
0.110076923,-0.000374136,0.110076923,0.000178759,0.110076923,6.09E-05,0.110076923,-0.000212665,0.7155,-0.015625,0.7155,-0.296875,0.7155,-0.609375,0.7155,-52.27481079,0.7155,61.55725098,0.7155,-4.39694643
0.111115385,-0.000292561,0.111115385,0.000229114,0.111115385,5.29E-05,0.111115385,-0.000271748,0.72225,-0.0625,0.72225,-0.28125,0.72225,-0.609375,0.72225,-62.53435135,0.72225,40.06106949,0.72225,-12.21374035
0.112153846,-0.000231128,0.112153846,0.000187488,0.112153846,4.55E-05,0.112153846,-0.000299947,0.729,-0.09375,0.729,-0.25,0.729,-0.609375,0.729,-72.79389191,0.729,18.56488609,0.729,-16.12213707
0.113192308,-0.000192859,0.113192308,-1.11E-05,0.113192308,3.16E-05,0.113192308,-0.000212665,0.73575,-0.09375,0.73575,-0.25,0.73575,-0.609375,0.73575,-84.51908112,0.73575,-3.41984725,0.73575,-19.05343437
0.114230769,-9.35E-05,0.114230769,4.67E-05,0.114230769,1.86E-05,0.114230769,-0.000228443,0.7425,-0.078125,0.7425,-0.25,0.7425,-0.609375,0.7425,-97.22137451,0.7425,-24.91603088,0.7425,-23.45038223
0.115269231,-2.06E-05,0.115269231,0.000149218,0.115269231,1.06E-05,0.115269231,-0.00019588,0.74925,-0.015625,0.74925,-0.265625,0.74925,-0.609375,0.74925,-109.435112,0.74925,-43.96946716,0.74925,-29.80152702
0.116307692,3.74E-05,0.116307692,0.000105745,0.116307692,6.55E-06,0.116307692,-3.37E-05,0.756,0.015625,0.756,-0.28125,0.756,-0.59375,0.756,-121.6488571,0.756,-60.58015442,0.756,-36.15267181
0.117346154,0.000115312,0.117346154,9.42E-05,0.117346154,-9.57E-06,0.117346154,3.31E-05,0.76275,0.0625,0.76275,-0.3125,0.76275,-0.578125,0.76275,-133.8625946,0.76275,-75.23664093,0.76275,-40.06106949
0.118384615,0.000150896,0.118384615,5.86E-05,0.118384615,-3.58E-05,0.118384615,-5.29E-05,0.7695,0.15625,0.7695,-0.34375,0.7695,-0.5625,0.7695,-146.0763397,0.7695,-85.00763702,0.7695,-42.01526642
0.119423077,0.000143175,0.119423077,-9.90E-06,0.119423077,-6.80E-05,0.119423077,-0.000146532,0.77625,0.234375,0.77625,-0.390625,0.77625,-0.53125,0.77625,-157.8015289,0.77625,-89.89312744,0.77625,-43.96946716
0.120461538,0.000107256,0.120461538,-6.66E-05,0.120461538,-9.55E-05,0.120461538,-9.84E-05,0.783,0.328125,0.783,-0.421875,0.783,-0.5,0.783,-163.6641235,0.783,-90.87023163,0.783,-45.43511581
0.1215,0.000101213,0.1215,-3.52E-05,0.1215,-0.000115312,0.1215,7.03E-05,0.78975,0.390625,0.78975,-0.4375,0.78975,-0.46875,0.78975,-176.3664093,0.78975,-89.89312744,0.78975,-49.34350967
0.122538462,9.21E-05,0.122538462,-6.88E-06,0.122538462,-0.000118334,0.122538462,1.09E-05,0.7965,0.4375,0.7965,-0.484375,0.7965,-0.4375,0.7965,-189.557251,0.7965,-85.98473358,0.7965,-53.25190735
0.123576923,8.21E-05,0.123576923,-4.85E-05,0.123576923,-0.000129244,0.123576923,-0.000123369,0.80325,0.46875,0.80325,-0.546875,0.80325,-0.421875,0.80325,-203.2366486,0.80325,-80.12213898,0.80325,-57.16030502
0.124615385,8.91E-05,0.124615385,-3.32E-05,0.124615385,-0.000104906,0.124615385,-8.61E-05,0.81,0.515625,0.81,-0.65625,0.81,-0.390625,0.81,-216.9160309,0.81,-73.28244019,0.81,-60.09160233
0.125653846,0.000107927,0.125653846,1.63E-05,0.125653846,-5.82E-05,0.125653846,-8.07E-05,0.81675,0.515625,0.81675,-0.75,0.81675,-0.34375,0.81675,-230.1068726,0.81675,-64,0.81675,-63.51145172
0.126692308,0.000129412,0.126692308,8.21E-05,0.126692308,-3.47E-05,0.126692308,-0.000109102,0.8235,0.46875,0.8235,-0.859375,0.8235,-0.28125,0.8235,-242.3206177,0.8235,-54.22900772,0.8235,-67.90839386
0.127730769,0.000127062,0.127730769,0.000119341,0.127730769,-4.11E-05,0.127730769,-5.19E-05,0.83025,0.40625,0.83025,-0.96875,0.83025,-0.21875,0.83025,-250.1374054,0.83025,-47.38931274,0.83025,-72.79389191
0.128769231,0.000101213,0.128769231,6.28E-05,0.128769231,-4.28E-05,0.128769231,-6.88E-06,0.837,0.3125,0.837,-1.09375,0.837,-0.15625,0.837,-250.1374054,0.837,-42.99236679,0.837,-76.21373749
0.129807692,0.000117662,0.129807692,-6.33E-05,0.129807692,-3.73E-05,0.129807692,7.44E-05,0.84375,0.234375,0.84375,-1.140625,0.84375,-0.109375,0.84375,-250.1374054,0.84375,-42.50381851,0.84375,-78.16793823
0.130846154,0.000124041,0.130846154,-0.000129412,0.130846154,-3.11E-05,0.130846154,0.000142504,0.8505,0.125,0.8505,-1.25,0.8505,-0.046875,0.8505,-250.1374054,0.8505,-48.36641312,0.8505,-77.19084167
0.131884615,0.000123873,0.131884615,-6.01E-05,0.131884615,-1.70E-05,0.131884615,2.60E-05,0.85725,0.09375,0.85725,-1.34375,0.85725,0,0.85725,-250.1374054,0.85725,-57.16030502,0.85725,-74.74809265
0.132923077,0.000144518,0.132923077,-4.53E-06,0.132923077,8.39E-07,0.132923077,-6.23E-05,0.864,0.109375,0.864,-1.453125,0.864,0.0625,0.864,-250.1374054,0.864,-64,0.864,-76.21373749
0.133961538,0.000168353,0.133961538,3.44E-05,0.133961538,7.39E-06,0.133961538,-9.42E-05,0.87075,0.0625,0.87075,-1.5625,0.87075,0.125,0.87075,-250.1374054,0.87075,-74.74809265,0.87075,-78.65648651
0.135,0.000155596,0.135,3.27E-05,0.135,-4.53E-06,0.135,-2.35E-06,0.8775,0.03125,0.8775,-1.671875,0.8775,0.1875,0.8775,-250.1374054,0.8775,-87.45037842,0.8775,-79.6335907
0.136038462,0.000133776,0.136038462,8.90E-06,0.136038462,-1.96E-05,0.136038462,9.15E-05,0.88425,0.046875,0.88425,-1.796875,0.88425,0.25,0.88425,-250.1374054,0.88425,-100.6412201,0.88425,-78.65648651
0.137076923,0.00012874,0.137076923,5.04E-06,0.137076923,-2.50E-05,0.137076923,0.000135454,0.891,0.0625,0.891,-1.921875,0.891,0.328125,0.891,-250.1374054,0.891,-106.992363,0.891,-77.67938995
0.138115385,0.000109606,0.138115385,1.63E-05,0.138115385,-3.24E-05,0.138115385,0.000158953,0.89775,0.109375,0.89775,-2.015625,0.89775,0.4375,0.89775,-250.1374054,0.89775,-121.6488571,0.89775,-74.74809265
0.139153846,7.15E-05,0.139153846,1.02E-05,0.139153846,-3.91E-05,0.139153846,4.58E-05,0.9045,0.21875,0.9045,-2.078125,0.9045,0.578125,0.9045,-250.1374054,0.9045,-136.3053436,0.9045,-70.83969116
0.140192308,2.70E-05,0.140192308,-2.84E-05,0.140192308,-5.99E-05,0.140192308,0.000144854,0.91125,0.328125,0.91125,-2.09375,0.91125,0.71875,0.91125,-250.1374054,0.91125,-148.5190887,0.91125,-66.9312973
0.141230769,1.12E-05,0.141230769,-4.46E-05,0.141230769,-9.18E-05,0.141230769,-0.000151568,0.918,0.453125,0.918,-2.09375,0.918,0.90625,0.918,-250.1374054,0.918,-157.312973,0.918,-63.51145172
0.142269231,9.57E-06,0.142269231,-2.17E-05,0.142269231,-0.000114305,0.142269231,0.000147539,0.92475,0.703125,0.92475,-2,0.92475,1.015625,0.92475,-250.1374054,0.92475,-163.1755676,0.92475,-62.53435135
