Model Outputs
250
,,MJR_V2:LAbsAnkleAngle,,,MJR_V2:LAnkleAngles,,,MJR_V2:LAnkleForce,,,MJR_V2:LAnkleMoment,,,MJR_V2:LAnklePower,,,MJR_V2:LFE,,,,,,,,,MJR_V2:LFO,,,,,,,,,MJR_V2:LFootProgressAngles,,,MJR_V2:LGroundReactionForce,,,MJR_V2:LGroundReactionMoment,,,MJR_V2:LHipAngles,,,MJR_V2:LHipForce,,,MJR_V2:LHipMoment,,,MJR_V2:LHipPower,,,MJR_V2:LKneeAngles,,,MJR_V2:LKneeForce,,,MJR_V2:LKneeMoment,,,MJR_V2:LKneePower,,,MJR_V2:LNormalisedGRF,,,MJR_V2:LPelvisAngles,,,MJR_V2:LTI,,,,,,,,,MJR_V2:LTO,,,,,,,,,MJR_V2:PEL,,,,,,,,,MJR_V2:RAbsAnkleAngle,,,MJR_V2:RAnkleAngles,,,MJR_V2:RAnkleForce,,,MJR_V2:RAnkleMoment,,,MJR_V2:RAnklePower,,,MJR_V2:RFE,,,,,,,,,MJR_V2:RFO,,,,,,,,,MJR_V2:RFootProgressAngles,,,MJR_V2:RGroundReactionForce,,,MJR_V2:RGroundReactionMoment,,,MJR_V2:RHipAngles,,,MJR_V2:RHipForce,,,MJR_V2:RHipMoment,,,MJR_V2:RHipPower,,,MJR_V2:RKneeAngles,,,MJR_V2:RKneeForce,,,MJR_V2:RKneeMoment,,,MJR_V2:RKneePower,,,MJR_V2:RNormalisedGRF,,,MJR_V2:RPelvisAngles,,,MJR_V2:RTI,,,,,,,,,MJR_V2:RTO,,,,,,,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ
249,0,18.254,0,0,23.5893,-7.18908,38.4891,-0.140156,0.0270184,-0.000367849,-16.5241,3.46075e-15,3.23053,0,0,0.00834689,0.341589,-3.39088,101.71,309.466,-34.937,773.724,345.269,345.269,345.269,79.8144,-55.2613,68.7216,265.004,-1.32404,371.909,244.497,244.497,244.497,-89.3329,-10.7769,-9.71456,,,,,,,19.165,1.48212,-8.39474,0.126037,-0.105305,1.57309,-2.63554,-3.55156,0.716597,0,0,-2.12065e-05,20.9874,-5.36744,-40.6529,-0.110334,0.137135,0.571901,-16.1274,22.8331,0.85001,0,0,0.0142221,,,,16.7354,-1.25694,-3.13657,-8.84673,23.2872,139.461,312.641,-169.143,386.522,392.813,392.813,392.813,79.8144,-55.2613,68.7216,251.252,79.001,370.974,81.4991,81.4992,81.4991,-13.8875,12.6381,92.5886,392.189,-45.1142,1119,185.434,185.434,185.434,16.8513,0,0,18.0862,-3.4539,20.9684,-0.143633,-0.0400604,-0.00696337,-12.9355,-2.53351e-15,3.11984,0,0,-0.00174333,-0.0166487,-13.7528,78.0251,545.448,9.01442,772.763,355.412,355.412,355.412,45.0564,-78.1843,72.6791,644.014,-14.1413,369.784,246.616,246.616,246.616,-82.339,-13.1027,-14.8823,,,,,,,24.2777,-9.98868,-14.3606,0.527266,-0.279153,1.63651,-106.319,84.7139,-15.1861,0,0,0.108491,34.5811,-2.9635,-24.5375,-0.110931,-0.194612,0.637072,-21.4158,46.0136,2.28753,0,0,0.0872263,,,,16.7354,1.25694,3.13657,-26.8937,7.34558,51.04,580.413,-175.364,403.574,396.148,396.148,396.148,45.0564,-78.1843,72.6791,665.127,64.5975,359.193,82.2055,82.2055,82.2055
250,0,18.3623,0,0,23.6897,-7.16015,38.3653,-0.14012,0.0271565,-6.19019e-05,-16.5278,5.46959e-16,3.27791,0,0,0.00837272,0.31731,-3.42163,101.693,309.101,-34.115,773.462,345.268,345.268,345.268,79.8184,-55.2283,68.7127,264.99,-1.27921,371.87,244.497,244.497,244.497,-89.3214,-10.8018,-9.72232,,,,,,,19.1676,1.47037,-8.40955,0.138553,-0.114298,1.57125,-6.75847,-5.46247,0.802128,0,0,-6.64223e-05,21.1111,-5.36223,-40.5842,-0.109135,0.132884,0.573356,-16.1278,22.4122,0.877166,0,0,0.0142524,,,,16.73,-1.29014,-3.09293,-8.9784,23.3844,139.344,312.655,-169.088,386.508,392.834,392.834,392.834,79.8184,-55.2284,68.7127,251.227,79.0438,370.918,81.4992,81.4992,81.4992,-13.9136,12.6019,92.5504,391.623,-44.3882,1118.8,185.434,185.434,185.434,16.8014,0,0,18.0193,-3.43744,20.8626,-0.143792,-0.0402325,-0.00732319,-12.8671,-1.95956e-15,3.15929,0,0,-0.0020793,0.121085,-13.9932,77.9814,545.474,11.1522,772.8,355.56,355.56,355.56,44.8829,-77.9237,72.8275,644.046,-13.8601,369.726,246.616,246.616,246.616,-82.0282,-13.048,-14.8722,,,,,,,24.5137,-10.0467,-14.3387,0.534114,-0.280953,1.63512,-107.399,84.4621,-15.4792,0,0,0.109685,35.0764,-3.02237,-24.33,-0.114189,-0.195793,0.637384,-21.6121,46.1734,2.33851,0,0,0.0894917,,,,16.73,1.29014,3.09293,-27.133,7.49003,51.1661,580.485,-174.909,404.41,396.193,396.193,396.193,44.8829,-77.9237,72.8274,665.145,64.8238,358.707,82.2055,82.2055,82.2055
251,0,18.4711,0,0,23.7894,-7.1307,38.2389,-0.139955,0.0270425,0.000216314,-16.5243,-2.92339e-15,3.28564,0,0,0.00839358,0.296163,-3.45121,101.677,308.733,-33.2793,773.198,345.273,345.273,345.273,79.8212,-55.1951,68.7057,264.975,-1.2332,371.829,244.497,244.497,244.497,-89.3082,-10.8253,-9.73057,,,,,,,19.1713,1.45342,-8.42588,0.148859,-0.122995,1.56972,-10.0945,-7.51549,0.885809,0,0,-0.000172857,21.238,-5.35468,-40.5116,-0.108773,0.12898,0.57431,-16.2186,21.9691,0.868324,0,0,0.0143874,,,,16.7245,-1.32542,-3.04777,-9.11195,23.483,139.225,312.669,-169.031,386.498,392.855,392.855,392.855,79.8211,-55.1951,68.7057,251.2,79.0876,370.859,81.4992,81.4992,81.4992,-13.9413,12.5637,92.511,391.07,-43.656,1118.61,185.434,185.434,185.434,16.7441,0,0,17.9439,-3.42025,20.752,-0.144026,-0.0404291,-0.00788923,-12.7959,7.41501e-15,3.21521,0,0,-0.00241183,0.264742,-14.236,77.9352,545.506,13.3291,772.853,355.715,355.715,355.715,44.7069,-77.6503,72.9786,644.08,-13.5696,369.665,246.616,246.616,246.616,-81.7057,-12.987,-14.8599,,,,,,,24.7553,-10.1007,-14.3179,0.53991,-0.282161,1.63434,-108.029,84.2169,-15.728,0,0,0.110356,35.5798,-3.08716,-24.1124,-0.118245,-0.197214,0.63762,-21.9856,46.3526,2.40623,0,0,0.0919864,,,,16.7245,1.32542,3.04777,-27.3752,7.63857,51.3013,580.567,-174.434,405.277,396.242,396.242,396.242,44.7069,-77.6503,72.9786,665.162,65.0555,358.203,82.2055,82.2054,82.2055
252,0,18.5806,0,0,23.8889,-7.10075,38.1098,-0.140025,0.0270841,0.000465372,-16.5576,2.9484e-15,3.30247,0,0,0.00844736,0.278387,-3.47994,101.663,308.363,-32.4278,772.93,345.283,345.283,345.283,79.8227,-55.1614,68.7003,264.959,-1.18569,371.787,244.497,244.497,244.497,-89.2936,-10.8477,-9.73939,,,,,,,19.1762,1.4313,-8.44438,0.155926,-0.130339,1.56836,-12.3612,-9.22672,0.941751,0,0,-0.000321338,21.3687,-5.34515,-40.4348,-0.10912,0.126216,0.575088,-16.3067,21.6632,0.863316,0,0,0.0146101,,,,16.7186,-1.36275,-3.00107,-9.2474,23.5832,139.103,312.684,-168.972,386.491,392.875,392.875,392.875,79.8227,-55.1614,68.7003,251.172,79.1328,370.797,81.4991,81.4992,81.4992,-13.9706,12.5234,92.4703,390.531,-42.9173,1118.42,185.434,185.434,185.434,16.679,0,0,17.8596,-3.40218,20.6355,-0.144215,-0.0406296,-0.00838079,-12.7028,7.53676e-15,3.28372,0,0,-0.00273636,0.414218,-14.4809,77.8876,545.544,15.5442,772.92,355.875,355.875,355.875,44.5282,-77.364,73.1322,644.117,-13.2696,369.6,246.616,246.616,246.616,-81.3717,-12.9195,-14.8453,,,,,,,25.0024,-10.1504,-14.2972,0.544597,-0.283964,1.63302,-108.467,84.3719,-16.001,0,0,0.110759,36.0908,-3.15754,-23.8846,-0.122266,-0.199138,0.637587,-22.3489,46.5782,2.48802,0,0,0.0943824,,,,16.7186,1.36275,3.00107,-27.6203,7.79127,51.4466,580.659,-173.94,406.175,396.294,396.294,396.294,44.5282,-77.364,73.1322,665.178,65.2926,357.679,82.2055,82.2055,82.2055
253,0,18.6908,0,0,23.9884,-7.07034,37.9783,-0.139919,0.0270229,0.000650694,-16.5766,1.32183e-15,3.29629,0,0,0.00849139,0.26415,-3.50803,101.65,307.991,-31.5589,772.659,345.298,345.298,345.298,79.8234,-55.1267,68.6964,264.943,-1.13636,371.744,244.497,244.497,244.497,-89.2776,-10.8695,-9.74881,,,,,,,19.1826,1.40405,-8.46554,0.159866,-0.136172,1.56741,-13.4903,-10.5615,0.958817,0,0,-0.000513392,21.5035,-5.33398,-40.3538,-0.110141,0.124731,0.575555,-16.4282,21.4933,0.838791,0,0,0.0149272,,,,16.7125,-1.40209,-2.95286,-9.38465,23.6854,138.979,312.7,-168.91,386.488,392.897,392.897,392.897,79.8233,-55.1267,68.6963,251.143,79.1795,370.731,81.4992,81.4992,81.4991,-14.0014,12.4811,92.4285,390.008,-42.1721,1118.24,185.434,185.434,185.434,16.6059,0,0,17.7662,-3.38313,20.5124,-0.144352,-0.0409356,-0.00888589,-12.5831,7.96143e-15,3.37545,0,0,-0.00304395,0.569338,-14.7276,77.8396,545.585,17.7964,773.004,356.039,356.039,356.039,44.3468,-77.0648,73.2879,644.156,-12.9602,369.534,246.616,246.616,246.616,-81.0262,-12.8454,-14.8284,,,,,,,25.2547,-10.1958,-14.2756,0.549282,-0.286328,1.63207,-108.916,84.9142,-16.2913,0,0,0.11111,36.609,-3.23302,-23.647,-0.126334,-0.201498,0.637764,-22.7424,46.8709,2.59426,0,0,0.0967552,,,,16.7125,1.40209,2.95286,-27.8678,7.94823,51.6026,580.761,-173.426,407.105,396.349,396.349,396.349,44.3468,-77.0648,73.2879,665.194,65.5349,357.138,82.2055,82.2055,82.2055
254,0,18.8021,0,0,24.0883,-7.03964,37.8451,-0.140005,0.0269918,0.0008095,-16.6255,1.38868e-15,3.28392,0,0,0.00854728,0.253515,-3.53559,101.64,307.618,-30.6718,772.385,345.316,345.316,345.317,79.8232,-55.0911,68.6934,264.926,-1.08492,371.7,244.497,244.497,244.497,-89.2603,-10.891,-9.75876,,,,,,,19.1905,1.37176,-8.48974,0.160212,-0.140875,1.56704,-13.3782,-11.6879,0.965626,0,0,-0.000782253,21.6424,-5.32143,-40.2688,-0.112162,0.124327,0.575697,-16.6123,21.4092,0.804478,0,0,0.015314,,,,16.7061,-1.44337,-2.90313,-9.52351,23.7896,138.853,312.717,-168.845,386.487,392.92,392.92,392.921,79.8232,-55.0911,68.6934,251.112,79.2283,370.663,81.4992,81.4992,81.4992,-14.0336,12.4369,92.3854,389.5,-41.4201,1118.07,185.434,185.434,185.434,16.5243,0,0,17.663,-3.36299,20.3821,-0.144289,-0.0411031,-0.00959685,-12.4162,1.11602e-15,3.45756,0,0,-0.00334287,0.72983,-14.9759,77.792,545.63,20.0842,773.104,356.207,356.207,356.207,44.1626,-76.7525,73.4456,644.197,-12.6412,369.465,246.616,246.616,246.616,-80.669,-12.7645,-14.8095,,,,,,,25.512,-10.2369,-14.2523,0.553566,-0.288091,1.63204,-109.122,85.3558,-16.5095,0,0,0.111206,37.134,-3.31297,-23.3999,-0.131107,-0.203763,0.638053,-23.3632,47.119,2.69452,0,0,0.0993806,,,,16.7061,1.44337,2.90313,-28.1175,8.1095,51.7699,580.873,-172.89,408.066,396.407,396.407,396.407,44.1626,-76.7525,73.4456,665.209,65.7819,356.579,82.2054,82.2055,82.2055
255,0,18.9144,0,0,24.189,-7.00882,37.7108,-0.139959,0.0269246,0.000900237,-16.6629,2.34686e-15,3.25824,0,0,0.00858866,0.246402,-3.56258,101.632,307.245,-29.7665,772.109,345.338,345.338,345.338,79.8224,-55.0542,68.691,264.909,-1.03106,371.655,244.497,244.497,244.497,-89.2419,-10.9126,-9.76915,,,,,,,19.1999,1.33447,-8.51725,0.156367,-0.143133,1.56769,-11.8373,-12.2747,0.945444,0,0,-0.00110692,21.7853,-5.30773,-40.1805,-0.115058,0.125378,0.575267,-16.8659,21.4881,0.759265,0,0,0.0157836,,,,16.6994,-1.48656,-2.8519,-9.6637,23.896,138.726,312.735,-168.777,386.49,392.947,392.947,392.947,79.8224,-55.0543,68.691,251.08,79.2793,370.593,81.4992,81.4992,81.4992,-14.067,12.3907,92.3411,389.009,-40.6612,1117.9,185.434,185.434,185.434,16.4336,0,0,17.5495,-3.34166,20.2439,-0.144044,-0.0412853,-0.0101197,-12.2043,3.51329e-15,3.54532,0,0,-0.00362258,0.895474,-15.2257,77.746,545.679,22.4064,773.221,356.376,356.376,356.376,43.9753,-76.4269,73.6047,644.242,-12.3129,369.393,246.616,246.616,246.616,-80.2998,-12.6765,-14.7888,,,,,,,25.7739,-10.2734,-14.2263,0.557764,-0.290127,1.63052,-109.64,86.1885,-16.7827,0,0,0.111636,37.6651,-3.39674,-23.1435,-0.135,-0.206272,0.63799,-23.8424,47.3875,2.80323,0,0,0.101593,,,,16.6994,1.48656,2.8519,-28.369,8.2752,51.9491,580.995,-172.332,409.06,396.468,396.468,396.468,43.9753,-76.4269,73.6047,665.225,66.033,356.001,82.2055,82.2055,82.2055
256,0,19.0276,0,0,24.2907,-6.97812,37.5765,-0.140124,0.0269198,0.000829595,-16.7297,2.26085e-15,3.23282,0,0,0.0086348,0.24262,-3.5889,101.627,306.873,-28.844,771.831,345.363,345.363,345.363,79.8212,-55.0161,68.6889,264.891,-0.974558,371.611,244.497,244.497,244.497,-89.2224,-10.9347,-9.77985,,,,,,,19.2105,1.29237,-8.54816,0.148719,-0.14348,1.5695,-8.90956,-12.3954,0.905513,0,0,-0.00149465,21.9318,-5.29302,-40.0897,-0.118937,0.127981,0.574757,-17.2177,21.7616,0.710164,0,0,0.016342,,,,16.6922,-1.53153,-2.79918,-9.80486,24.0045,138.599,312.753,-168.706,386.495,392.976,392.976,392.976,79.8212,-55.0161,68.6889,251.047,79.3328,370.521,81.4992,81.4992,81.4992,-14.1017,12.3425,92.2956,388.533,-39.8952,1117.73,185.434,185.434,185.434,16.3332,0,0,17.425,-3.3191,20.0974,-0.143726,-0.0414319,-0.010704,-11.9622,5.03224e-15,3.62896,0,0,-0.00389357,1.06591,-15.4769,77.7025,545.732,24.7615,773.357,356.545,356.545,356.545,43.7845,-76.0876,73.765,644.29,-11.9754,369.318,246.616,246.616,246.616,-79.9183,-12.5811,-14.7664,,,,,,,26.0403,-10.3056,-14.1968,0.562398,-0.291643,1.62877,-110.373,87.0162,-17.029,0,0,0.112385,38.2021,-3.48352,-22.8783,-0.138824,-0.20859,0.638085,-24.3848,47.6166,2.9102,0,0,0.10373,,,,16.6922,1.53153,2.79918,-28.622,8.44538,52.1406,581.127,-171.75,410.086,396.53,396.53,396.53,43.7845,-76.0875,73.765,665.242,66.2876,355.403,82.2054,82.2054,82.2055
257,0,19.1417,0,0,24.3936,-6.94778,37.4433,-0.140189,0.026965,0.000808276,-16.7857,3.08174e-16,3.20825,0,0,0.00866488,0.241883,-3.61436,101.625,306.501,-27.9062,771.552,345.388,345.388,345.388,79.8195,-54.9767,68.6867,264.873,-0.915281,371.566,244.497,244.497,244.497,-89.202,-10.9574,-9.7907,,,,,,,19.222,1.24571,-8.58245,0.137954,-0.142112,1.57168,-4.94831,-12.0894,0.841547,0,0,-0.00191556,22.0814,-5.27736,-39.9974,-0.123334,0.13168,0.573808,-17.5744,22.1451,0.663185,0,0,0.01689,,,,16.6846,-1.57809,-2.74501,-9.9466,24.1152,138.473,312.772,-168.631,386.502,393.008,393.008,393.008,79.8195,-54.9767,68.6867,251.014,79.3891,370.447,81.4992,81.4992,81.4992,-14.1374,12.2925,92.2489,388.074,-39.1222,1117.57,185.434,185.434,185.434,16.2222,0,0,17.2885,-3.29528,19.9424,-0.143425,-0.0415995,-0.0113905,-11.7034,4.49887e-15,3.7119,0,0,-0.00416008,1.24088,-15.7295,77.6621,545.788,27.1483,773.511,356.713,356.713,356.713,43.5899,-75.734,73.9261,644.342,-11.6291,369.239,246.616,246.616,246.616,-79.5241,-12.478,-14.7428,,,,,,,26.3109,-10.3336,-14.1628,0.567662,-0.293178,1.62762,-111.345,87.9801,-17.2741,0,0,0.113518,38.7445,-3.57255,-22.6049,-0.142629,-0.210931,0.638563,-25.0055,47.8647,3.01798,0,0,0.105895,,,,16.6846,1.57809,2.74501,-28.8762,8.62003,52.3442,581.269,-171.145,411.146,396.593,396.593,396.593,43.5898,-75.7341,73.9261,665.262,66.5449,354.785,82.2055,82.2055,82.2055
258,0,19.2564,0,0,24.4979,-6.91807,37.3125,-0.140351,0.0269359,0.000528792,-16.8534,6.05115e-16,3.17221,0,0,0.00867837,0.243819,-3.63864,101.625,306.129,-26.9557,771.273,345.413,345.413,345.413,79.8175,-54.9361,68.684,264.855,-0.853123,371.521,244.497,244.497,244.497,-89.1808,-10.981,-9.80151,,,,,,,19.2339,1.19463,-8.61994,0.124284,-0.138825,1.5748,0.145172,-11.4966,0.786874,0,0,-0.0023731,22.2332,-5.2607,-39.9048,-0.128669,0.136324,0.57233,-18.0952,22.6451,0.60364,0,0,0.0175024,,,,16.6765,-1.62614,-2.6894,-10.0884,24.2276,138.35,312.791,-168.554,386.511,393.044,393.044,393.044,79.8175,-54.936,68.684,250.981,79.4482,370.373,81.4992,81.4992,81.4992,-14.174,12.2408,92.201,387.631,-38.3422,1117.41,185.434,185.434,185.434,16.0998,0,0,17.1394,-3.27019,19.7789,-0.14308,-0.0416572,-0.0119691,-11.4253,-4.22059e-15,3.77304,0,0,-0.00443577,1.42007,-15.9836,77.6256,545.849,29.5657,773.685,356.879,356.879,356.879,43.3907,-75.3659,74.0877,644.399,-11.2743,369.156,246.616,246.616,246.616,-79.1164,-12.3667,-14.7181,,,,,,,26.5856,-10.3577,-14.1238,0.573215,-0.294323,1.62593,-112.67,89.0438,-17.5534,0,0,0.115223,39.2921,-3.66301,-22.3238,-0.145997,-0.213347,0.639278,-25.5981,48.1118,3.10637,0,0,0.107893,,,,16.6765,1.62614,2.6894,-29.1313,8.79921,52.56,581.419,-170.513,412.24,396.656,396.656,396.656,43.3907,-75.3659,74.0877,665.284,66.8036,354.144,82.2055,82.2055,82.2055
259,0,19.3713,0,0,24.6034,-6.88925,37.1851,-0.1405,0.0270796,0.000315569,-16.9174,-1.57728e-15,3.15723,0,0,0.00868226,0.24797,-3.66133,101.627,305.759,-25.9956,770.994,345.438,345.438,345.438,79.8152,-54.8943,68.6807,264.837,-0.788163,371.477,244.497,244.497,244.497,-89.159,-11.0056,-9.81213,,,,,,,19.2455,1.13952,-8.6603,0.108587,-0.133708,1.57778,5.87864,-10.4138,0.705566,0,0,-0.00274918,22.3863,-5.24293,-39.8133,-0.134116,0.141842,0.570585,-18.5718,23.267,0.563991,0,0,0.0180367,,,,16.668,-1.6754,-2.63242,-10.23,24.3416,138.23,312.809,-168.474,386.523,393.082,393.082,393.082,79.8151,-54.8943,68.6807,250.948,79.5102,370.298,81.4991,81.4991,81.4991,-14.2113,12.1875,92.1519,387.204,-37.5554,1117.25,185.434,185.434,185.434,15.9651,0,0,16.9766,-3.24389,19.6071,-0.142843,-0.0415423,-0.012697,-11.1521,-2.36538e-15,3.80152,0,0,-0.00474561,1.60316,-16.2393,77.5937,545.914,32.0127,773.879,357.041,357.041,357.041,43.1864,-74.9825,74.2495,644.461,-10.9114,369.068,246.616,246.616,246.616,-78.6946,-12.247,-14.6926,,,,,,,26.8642,-10.3784,-14.0791,0.578624,-0.294799,1.62325,-114.096,89.9443,-17.8033,0,0,0.117318,39.8446,-3.75406,-22.0358,-0.149396,-0.215438,0.639899,-26.2967,48.2987,3.16374,0,0,0.109961,,,,16.668,1.6754,2.63242,-29.3869,8.98286,52.7875,581.579,-169.855,413.368,396.717,396.718,396.718,43.1864,-74.9825,74.2495,665.311,67.063,353.479,82.2054,82.2055,82.2055
260,0,19.4862,0,0,24.7102,-6.86155,37.0623,-0.140593,0.0272391,-0.000127897,-16.9714,3.18537e-15,3.14694,0,0,0.00866338,0.25385,-3.68207,101.63,305.39,-25.0295,770.715,345.462,345.462,345.462,79.8125,-54.8515,68.6765,264.819,-0.720516,371.433,244.497,244.497,244.497,-89.1367,-11.0312,-9.82239,,,,,,,19.2565,1.08077,-8.70307,0.0916259,-0.128128,1.57988,12.1752,-9.30556,0.64376,0,0,-0.0030822,22.5397,-5.22388,-39.7242,-0.140002,0.147653,0.568072,-19.155,23.9546,0.52982,0,0,0.018545,,,,16.6589,-1.72555,-2.57414,-10.3708,24.4569,138.114,312.827,-168.391,386.536,393.123,393.123,393.123,79.8125,-54.8516,68.6765,250.915,79.5748,370.223,81.4991,81.4992,81.4991,-14.2489,12.1329,92.1017,386.791,-36.7619,1117.09,185.434,185.434,185.434,15.8171,0,0,16.7994,-3.21645,19.4274,-0.142624,-0.0414875,-0.013341,-10.8801,3.06108e-15,3.8219,0,0,-0.00507068,1.78983,-16.4969,77.5668,545.984,34.4883,774.094,357.199,357.199,357.199,42.9764,-74.5834,74.4114,644.527,-10.5408,368.974,246.616,246.616,246.616,-78.258,-12.1184,-14.6667,,,,,,,27.1466,-10.3961,-14.0279,0.586442,-0.295254,1.62093,-116.393,90.9704,-18.11,0,0,0.120734,40.4019,-3.84477,-21.7418,-0.152028,-0.217433,0.641159,-26.8896,48.5027,3.21377,0,0,0.111753,,,,16.6589,1.72555,2.57414,-29.6428,9.17094,53.0262,581.747,-169.168,414.533,396.776,396.776,396.776,42.9764,-74.5834,74.4114,665.341,67.3218,352.79,82.2055,82.2055,82.2055
261,0,19.6006,0,0,24.8181,-6.83515,36.9448,-0.140693,0.0274099,-0.000462159,-17.0217,3.94955e-15,3.14246,0,0,0.00862429,0.260911,-3.70038,101.635,305.022,-24.0613,770.437,345.484,345.484,345.484,79.8095,-54.808,68.6714,264.801,-0.650502,371.391,244.497,244.497,244.497,-89.1139,-11.0578,-9.83219,,,,,,,19.266,1.01872,-8.74769,0.0750239,-0.120946,1.58207,18.3381,-7.87739,0.555909,0,0,-0.00320572,22.6924,-5.20331,-39.6386,-0.145419,0.153533,0.565336,-19.6469,24.6435,0.501285,0,0,0.0188837,,,,16.6494,-1.77639,-2.51463,-10.5104,24.5729,138.003,312.844,-168.306,386.552,393.165,393.165,393.165,79.8095,-54.808,68.6714,250.884,79.642,370.149,81.4992,81.4992,81.4991,-14.2867,12.0772,92.0503,386.392,-35.9621,1116.94,185.434,185.434,185.434,15.6548,0,0,16.607,-3.18798,19.2406,-0.142526,-0.0413081,-0.0140491,-10.6294,3.71041e-16,3.80845,0,0,-0.00544847,1.97986,-16.7566,77.5455,546.06,36.992,774.33,357.351,357.351,357.351,42.76,-74.1679,74.5733,644.599,-10.1627,368.873,246.616,246.616,246.616,-77.8059,-11.9808,-14.6404,,,,,,,27.4329,-10.4112,-13.9699,0.596445,-0.294683,1.61831,-119.452,91.7622,-18.4245,0,0,0.125488,40.9638,-3.93444,-21.4425,-0.154133,-0.218996,0.642962,-27.4494,48.6427,3.2308,0,0,0.11338,,,,16.6494,1.77639,2.51463,-29.8987,9.36331,53.2752,581.923,-168.451,415.735,396.83,396.83,396.83,42.7601,-74.1679,74.5733,665.377,67.5791,352.073,82.2055,82.2055,82.2055
262,0,19.7142,0,0,24.9268,-6.81021,36.8335,-0.140739,0.0276287,-0.000968459,-17.0603,-3.50025e-16,3.1503,0,0,0.00856431,0.268607,-3.71585,101.64,304.655,-23.0948,770.16,345.504,345.504,345.504,79.806,-54.7638,68.6653,264.784,-0.578387,371.349,244.497,244.497,244.497,-89.0907,-11.0852,-9.8414,,,,,,,19.2733,0.953876,-8.79361,0.0583457,-0.113944,1.5837,24.6065,-6.60347,0.497847,0,0,-0.00320036,22.8433,-5.18099,-39.5576,-0.151065,0.159261,0.56242,-20.2335,25.3685,0.485567,0,0,0.0191576,,,,16.6392,-1.82753,-2.45398,-10.6486,24.6894,137.898,312.86,-168.219,386.569,393.208,393.208,393.208,79.806,-54.7638,68.6653,250.854,79.7114,370.075,81.4992,81.4992,81.4992,-14.3243,12.0206,91.9979,386.007,-35.1559,1116.79,185.434,185.434,185.434,15.4776,0,0,16.3987,-3.15865,19.0476,-0.14265,-0.0410403,-0.0147835,-10.4209,-6.63235e-15,3.76333,0,0,-0.0058996,2.17302,-17.0187,77.5298,546.142,39.5238,774.589,357.497,357.497,357.497,42.5366,-73.7355,74.735,644.677,-9.77744,368.765,246.616,246.616,246.616,-77.3375,-11.8339,-14.6139,,,,,,,27.7229,-10.4245,-13.9047,0.609115,-0.294036,1.61626,-123.418,92.5108,-18.7812,0,0,0.131791,41.5304,-4.0224,-21.1391,-0.155688,-0.220362,0.645913,-27.9416,48.7641,3.21602,0,0,0.114854,,,,16.6392,1.82753,2.45398,-30.1544,9.5598,53.5336,582.108,-167.703,416.975,396.879,396.879,396.879,42.5366,-73.7355,74.735,665.418,67.8338,351.327,82.2054,82.2054,82.2055
