Model Outputs,,,,,,,,,,,,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,,,,,,,,,,,,
,,Id_5:LPelvisAngles_M,,,Id_5:LHipAngles_M,,,Id_5:LKneeAngles_M,,,Id_5:LAnkleAngles_M,,,Id_5:RPelvisAngles_M,,,Id_5:RHipAngles_M,,,Id_5:RKneeAngles_M,,,Id_5:RAnkleAngles_M,,
29,0,11.0542,1.62463,-2.79059,5.35958,6.90885,-16.1719,23.9073,-7.84122,-3.1534,22.1237,-4.3881,19.295,11.0542,-1.62463,2.79059,53.2053,-7.9833,-9.67304,87.9336,-4.72156,-4.96822,0.399605,-1.48277,4.96759
30,0,11.0458,1.1895,-2.22177,3.67984,6.35372,-15.7924,22.3697,-7.31523,-4.28401,20.9137,-4.60584,20.2331,11.0458,-1.1895,2.22177,53.6385,-6.76892,-9.96685,85.3165,-4.90619,-5.82079,0.721563,-1.57461,5.30302
31,0,11.0407,0.746629,-1.629,2.00648,5.80591,-15.4264,20.8092,-6.8019,-5.4843,19.4852,-4.84558,21.2527,11.0407,-0.746629,1.629,53.9244,-5.51508,-10.3019,82.5083,-5.1576,-6.64426,1.04188,-1.6817,5.69364
32,0,11.0371,0.299519,-1.01816,0.344875,5.26988,-15.0892,19.2397,-6.31328,-6.7442,17.8332,-5.11048,22.3627,11.0371,-0.299519,1.01816,54.0575,-4.23407,-10.6648,79.512,-5.46556,-7.40796,1.3666,-1.80191,6.1315
33,0,11.0312,-0.148535,-0.394751,-1.29988,4.749,-14.799,17.677,-5.86016,-8.04992,15.9529,-5.40356,23.5699,11.0312,0.148535,0.394751,54.035,-2.93838,-11.0453,76.3371,-5.82141,-8.10161,1.70412,-1.93809,6.62658
34,0,11.0215,-0.594729,0.235497,-2.92038,4.2459,-14.5721,16.1391,-5.45136,-9.38319,13.8384,-5.72607,24.8726,11.0215,0.594729,-0.235497,53.8563,-1.64175,-11.4361,72.9926,-6.21477,-8.71645,2.06185,-2.0933,7.18963
35,0,11.0059,-1.03638,0.866511,-4.5078,3.76295,-14.4243,14.6454,-5.09448,-10.7261,11.4843,-6.07888,26.2661,11.0059,1.03638,-0.866511,53.5206,-0.358358,-11.8186,69.4887,-6.62155,-9.2489,2.44474,-2.27029,7.8299
36,0,10.9826,-1.47186,1.49329,-6.05241,3.3005,-14.3698,13.2182,-4.79366,-12.056,8.88672,-6.46001,27.7337,10.9826,1.47186,-1.49329,53.0346,0.897483,-12.1962,65.8463,-7.03455,-9.72165,2.86184,-2.47958,8.58436
37,0,10.9508,-1.89898,2.11127,-7.54232,2.859,-14.4207,11.8817,-4.55105,-13.3506,6.04337,-6.86543,29.2516,10.9508,1.89898,-2.11127,52.4023,2.11188,-12.5487,62.0818,-7.42161,-10.1458,3.31763,-2.7253,9.46621
38,0,10.9103,-2.31618,2.71601,-8.96428,2.43863,-14.5824,10.6617,-4.36748,-14.5916,2.95828,-7.28866,30.7882,10.9103,2.31618,-2.71601,51.6356,3.27058,-12.8895,58.2232,-7.77762,-10.5429,3.81738,-3.01661,10.5056
39,0,10.861,-2.72184,3.30444,-10.3042,2.03845,-14.8579,9.58678,-4.24146,-15.753,-0.35569,-7.71731,32.2946,10.861,2.72184,-3.30444,50.7439,4.36187,-13.2036,54.2961,-8.0702,-10.9245,4.36499,-3.35513,11.7043
40,0,10.8041,-3.11429,3.87311,-11.5466,1.6574,-15.244,8.68675,-4.17153,-16.8144,-3.86999,-8.13699,33.7212,10.8041,3.11429,-3.87311,49.7433,5.37482,-13.4977,50.3343,-8.2854,-11.3079,4.96104,-3.74485,13.071
41,0,10.7395,-3.49155,4.41981,-12.6778,1.29466,-15.7307,7.99204,-4.15603,-17.7514,-7.53383,-8.52785,35.0073,10.7395,3.49155,-4.41981,48.6483,6.3021,-13.7651,46.3725,-8.40034,-11.7012,5.60502,-4.18374,14.5914
42,0,10.6697,-3.85056,4.9416,-13.6833,0.949658,-16.3018,7.53146,-4.19361,-18.5386,-11.273,-8.86788,36.0933,10.6697,3.85056,-4.9416,47.4792,7.13864,-14.0033,42.4509,-8.40104,-12.1172,6.29475,-4.6694,16.2488
43,0,10.5923,-4.18896,5.4365,-14.5538,0.621189,-16.9411,7.33388,-4.2844,-19.1544,-14.9837,-9.13839,36.9357,10.5923,4.18896,-5.4365,46.2529,7.88398,-14.2055,38.6124,-8.27797,-12.5669,7.02618,-5.19652,18.0152
44,0,10.5097,-4.50273,5.90259,-15.2783,0.308625,-17.6255,7.42379,-4.42846,-19.5828,-18.5425,-9.32543,37.5071,10.5097,4.50273,-5.90259,44.9895,8.53989,-14.3631,34.8939,-8.02867,-13.046,7.78867,-5.7536,19.8427
45,0,10.4176,-4.78903,6.33647,-15.8553,0.00983336,-18.3349,7.82055,-4.62558,-19.8104,-21.8215,-9.42266,37.8007,10.4176,4.78903,-6.33647,43.7063,9.10993,-14.4731,31.3369,-7.66326,-13.5615,8.56953,-6.33225,21.6957
46,0,10.3187,-5.04285,6.73648,-16.279,-0.275778,-19.0497,8.53821,-4.87565,-19.832,-24.6999,-9.43256,37.8304,10.3187,5.04285,-6.73648,42.4222,9.59915,-14.5126,27.9706,-7.18878,-14.1122,9.3477,-6.91679,23.5183
47,0,10.2053,-5.26013,7.09993,-16.5582,-0.549176,-19.7529,9.58369,-5.17712,-19.6529,-27.0833,-9.36471,37.626,10.2053,5.26013,-7.09993,41.1535,10.012,-14.4917,24.8324,-6.63889,-14.714,10.1104,-7.5062,25.3043
48,0,10.0765,-5.4378,7.42536,-16.6985,-0.811654,-20.4344,10.9561,-5.52759,-19.2781,-28.909,-9.23024,37.2174,10.0765,5.4378,-7.42536,39.9104,10.3554,-14.379,21.9425,-6.02908,-15.3534,10.8357,-8.07872,26.9879
49,0,9.92868,-5.56986,7.71007,-16.711,-1.06206,-21.0822,12.6473,-5.92167,-18.7238,-30.1541,-9.04078,36.6339,9.92868,5.56986,-7.71007,38.7076,10.6313,-14.1966,19.3195,-5.40102,-16.0349,11.5073,-8.63715,28.5809
50,0,9.75849,-5.65166,7.95209,-16.609,-1.29801,-21.6935,14.6424,-6.35598,-18.007,-30.8259,-8.80623,35.8986,9.75849,5.65166,-7.95209,37.5507,10.8425,-13.9303,16.974,-4.77877,-16.7439,12.1078,-9.16752,30.0484
51,0,9.56162,-5.68401,8.14966,-16.4097,-1.5221,-22.2679,16.9195,-6.82399,-17.1484,-30.9645,-8.53246,35.0222,9.56162,5.68401,-8.14966,36.4446,10.9941,-13.5965,14.9142,-4.1929,-17.4691,12.627,-9.66815,31.393
52,0,9.33888,-5.65965,8.30017,-16.1245,-1.72769,-22.8041,19.4513,-7.32216,-16.1732,-30.6329,-8.22392,34.0108,9.33888,5.65965,-8.30017,35.3916,11.0834,-13.1802,13.1394,-3.65914,-18.1973,13.0483,-10.1273,32.5917
53,0,9.08752,-5.57935,8.40223,-15.7697,-1.91412,-23.3055,22.2075,-7.84669,-15.1088,-29.9067,-7.88326,32.8644,9.08752,5.57935,-8.40223,34.3926,11.1115,-12.7096,11.6482,-3.19728,-18.9029,13.3625,-10.5441,33.6512
54,0,8.80922,-5.44605,8.45528,-15.3569,-2.08219,-23.7767,25.1541,-8.39478,-13.9861,-28.8733,-7.51369,31.5852,8.80922,5.44605,-8.45528,33.4468,11.0808,-12.1854,10.4341,-2.81251,-19.5686,13.5541,-10.9096,34.5582
55,0,8.50507,-5.26352,8.45932,-14.8969,-2.23193,-24.2203,28.2569,-8.96533,-12.8413,-27.6214,-7.12021,30.1825,8.50507,5.26352,-8.45932,32.5522,10.9924,-11.6177,9.49088,-2.50641,-20.1726,13.6114,-11.2158,35.3023
56,0,8.17897,-5.03054,8.41459,-14.396,-2.35843,-24.6332,31.4825,-9.55466,-11.7059,-26.2296,-6.70707,28.6641,8.17897,5.03054,-8.41459,31.7097,10.842,-11.0229,8.80884,-2.27547,-20.6956,13.5186,-11.4585,35.8822
57,0,7.83943,-4.75799,8.32469,-13.8552,-2.46712,-25.0145,34.7999,-10.1587,-10.6149,-24.7667,-6.28062,27.0478,7.83943,4.75799,-8.32469,30.9227,10.6367,-10.4119,8.37629,-2.10998,-21.1257,13.2636,-11.6321,36.2914
58,0,7.49277,-4.45097,8.19265,-13.2757,-2.55829,-25.3567,38.1808,-10.7694,-9.60099,-23.2897,-5.84777,25.357,7.49277,4.45097,-8.19265,30.1941,10.3776,-9.80152,8.18473,-1.99923,-21.4487,12.8352,-11.7323,36.5256
59,0,7.14766,-4.11358,8.02345,-12.6538,-2.63075,-25.6524,41.6012,-11.3759,-8.68813,-21.8395,-5.41425,23.6135,7.14766,4.11358,-8.02345,29.5285,10.0661,-9.2067,8.22187,-1.93021,-21.6562,12.23,-11.7577,36.5847
60,0,6.81605,-3.75982,7.82374,-11.9822,-2.69348,-25.8943,45.0405,-11.9636,-7.90269,-20.4452,-4.9872,21.8483,6.81605,3.75982,-7.82374,28.9352,9.71409,-8.64623,8.47585,-1.89009,-21.7421,11.4489,-11.7081,36.4692
61,0,6.50554,-3.396,7.60019,-11.2552,-2.74734,-26.0762,48.4809,-12.5187,-7.25609,-19.123,-4.57196,20.0879,6.50554,3.396,-7.60019,28.4197,9.32718,-8.13227,8.93763,-1.86739,-21.6997,10.5089,-11.583,36.1761
62,0,6.23029,-3.03039,7.36074,-10.4592,-2.79717,-26.1927,51.9079,-13.0249,-6.76206,-17.8818,-4.17489,18.3657,6.23029,3.03039,-7.36074,27.9945,8.91523,-7.67152,9.5937,-1.85129,-21.5285,9.43677,-11.3845,35.7062
63,0,5.99829,-2.67386,7.11407,-9.58569,-2.84933,-26.2454,55.308,-13.4697,-6.42501,-16.7242,-3.80122,16.7122,5.99829,2.67386,-7.11407,27.6683,8.49131,-7.28317,10.4383,-1.83713,-21.2137,8.28086,-11.1161,35.0616
64,0,5.82103,-2.33393,6.86778,-8.62047,-2.90957,-26.2353,58.6703,-13.8416,-6.25142,-15.6476,-3.45733,15.164,5.82103,2.33393,-6.86778,27.4518,8.0671,-6.96411,11.4612,-1.81958,-20.748,7.1004,-10.7784,34.2349
65,0,5.70541,-2.0196,6.63015,-7.55365,-2.98508,-26.1666,61.984,-14.1321,-6.24402,-14.6478,-3.14904,13.7561,5.70541,2.0196,-6.63015,27.351,7.65677,-6.71269,12.6556,-1.79737,-20.1175,5.96813,-10.3734,33.2204
66,0,5.6572,-1.73952,6.4079,-6.37525,-3.08472,-26.0452,65.24,-14.3361,-6.40117,-13.7181,-2.88139,12.5195,5.6572,1.73952,-6.4079,27.3705,7.27497,-6.52488,14.0127,-1.77178,-19.3094,4.95602,-9.90501,32.0154
67,0,5.68106,-1.5017,6.20733,-5.07616,-3.21761,-25.8779,68.4288,-14.4526,-6.72221,-12.8529,-2.65973,11.4861,5.68106,1.5017,-6.20733,27.5113,6.93637,-6.39184,15.5268,-1.7459,-18.2999,4.13814,-9.37215,30.6027
68,0,5.77766,-1.31337,6.0344,-3.65032,-3.39288,-25.6695,71.5422,-14.4814,-7.20094,-12.0469,-2.48769,10.6786,5.77766,1.31337,-6.0344,27.7688,6.65531,-6.30395,17.1843,-1.72395,-17.0746,3.5638,-8.77818,28.9754
69,0,5.94593,-1.18235,5.89347,-2.09423,-3.62146,-25.4244,74.5722,-14.4262,-7.82641,-11.2935,-2.36783,10.1134,5.94593,1.18235,-5.89347,28.1338,6.44584,-6.25457,18.9699,-1.71189,-15.6281,3.26534,-8.12929,27.1342
70,0,6.18175,-1.11438,5.78925,-0.407273,-3.91219,-25.1455,77.5113,-14.292,-8.58344,-10.5886,-2.30091,9.79693,6.18175,1.11438,-5.78925,28.591,6.31995,-6.2408,20.8597,-1.71733,-13.9646,3.24808,-7.43481,25.0908
71,0,6.47988,-1.11447,5.72488,1.40885,-4.27359,-24.8332,80.3512,-14.0855,-9.4493,-9.92666,-2.28579,9.72533,6.47988,1.11447,-5.72488,29.1202,6.28754,-6.26646,22.8229,-1.74974,-12.1085,3.49591,-6.71014,22.8797
72,0,6.83292,-1.18527,5.70278,3.3493,-4.71116,-24.4869,83.0845,-13.8159,-10.3986,-9.30305,-2.31991,9.88683,6.83292,1.18527,-5.70278,29.6958,6.35513,-6.34002,24.8201,-1.81994,-10.1087,3.97594,-5.97656,20.5623
73,0,7.23264,-1.32713,5.7233,5.40661,-5.22835,-24.1018,85.7028,-13.4902,-11.3979,-8.71149,-2.39798,10.2558,7.23264,1.32713,-5.7233,30.2878,6.52474,-6.47624,26.806,-1.93988,-8.03005,4.64761,-5.25808,18.2192
74,0,7.66897,-1.53722,5.78711,7.56872,-5.8238,-23.6755,88.1964,-13.1194,-12.4126,-8.1465,-2.51389,10.8019,7.66897,1.53722,-5.78711,30.8619,6.79403,-6.68494,28.7312,-2.11864,-5.95775,5.46937,-4.58061,15.9478
75,0,8.13102,-1.80995,5.89218,9.82119,-6.4925,-23.2026,90.5556,-12.7118,-13.4102,-7.60066,-2.66045,11.4894,8.13102,1.80995,-5.89218,31.3825,7.15443,-6.97574,30.5462,-2.36183,-3.98136,6.40159,-3.96879,13.8493
76,0,8.60662,-2.13507,6.03558,12.1457,-7.22251,-22.6816,92.7691,-12.2794,-14.3605,-7.06718,-2.83041,12.2826,8.60662,2.13507,-6.03558,31.8132,7.59002,-7.35014,32.2044,-2.66843,-2.18345,7.4067,-3.44317,12.0143
77,0,9.08461,-2.50023,6.21366,14.5233,-7.99901,-22.1119,94.8253,-11.8313,-15.2362,-6.53944,-3.01563,13.1413,9.08461,2.50023,-6.21366,32.1223,8.08035,-7.80516,33.667,-3.03243,-0.63149,8.455,-3.0199,10.5173
78,0,9.55366,-2.88886,6.41979,16.9349,-8.80093,-21.4967,96.714,-11.379,-16.0138,-6.00937,-3.2078,14.0259,9.55366,2.88886,-6.41979,32.2817,8.59793,-8.32944,34.9032,-3.44093,0.62865,9.52057,-2.70899,9.40781
79,0,10.004,-3.28331,6.64495,19.3609,-9.60342,-20.8405,98.4235,-10.932,-16.6795,-5.47134,-3.39933,14.9006,10.004,3.28331,-6.64495,32.2713,9.11269,-8.90871,35.8939,-3.87815,1.5808,10.5818,-2.51313,8.70504
80,0,10.4256,-3.66543,6.87839,21.7815,-10.3806,-20.1538,99.9445,-10.5019,-17.2171,-4.91774,-3.58146,15.7257,10.4256,3.66543,-6.87839,32.0763,9.59401,-9.52337,36.6306,-4.32524,2.2358,11.6243,-2.42753,8.39701
81,0,10.8094,-4.01804,7.1074,24.177,-11.1044,-19.4462,101.267,-10.096,-17.6224,-4.34519,-3.74682,16.4689,10.8094,4.01804,-7.1074,31.6895,10.0129,-10.1536,37.1143,-4.76294,2.62056,12.6373,-2.44297,8.45263
82,0,11.1466,-4.32727,7.31889,26.528,-11.75,-18.733,102.384,-9.72405,-17.8903,-3.74866,-3.88742,17.0964,11.1466,4.32727,-7.31889,31.108,10.3454,-10.7766,37.3529,-5.16999,2.77887,13.6112,-2.54429,8.81702
83,0,11.4291,-4.58237,7.49936,28.8157,-12.295,-18.0292,103.289,-9.39298,-18.027,-3.12845,-3.99757,17.5849,11.4291,4.58237,-7.49936,30.333,10.5727,-11.3732,37.3596,-5.52694,2.76357,14.5384,-2.71319,9.42287
84,0,11.6505,-4.77715,7.63689,31.023,-12.7224,-17.3498,103.978,-9.10872,-18.0399,-2.48467,-4.07266,17.9164,11.6505,4.77715,-7.63689,29.3705,10.6839,-11.9238,37.1512,-5.8144,2.626,15.4097,-2.92995,10.1971
85,0,11.8067,-4.90892,7.72062,33.1352,-13.0195,-16.7076,104.449,-8.87465,-17.9406,-1.81945,-4.10957,18.0789,11.8067,4.90892,-7.72062,28.2297,10.6747,-12.4107,36.7456,-6.01467,2.41139,16.2136,-3.1749,11.0673
86,0,11.8962,-4.97926,7.74317,35.14,-13.1809,-16.1156,104.702,-8.69484,-17.7452,-1.13772,-4.10761,18.0703,11.8962,4.97926,-7.74317,26.9228,10.5485,-12.8195,36.1628,-6.11433,2.15374,16.9374,-3.43064,11.9702
87,0,11.9217,-4.99221,7.69892,37.0299,-13.2053,-15.5839,104.737,-8.57288,-17.4757,-0.445396,-4.06885,17.8996,11.9217,4.99221,-7.69892,25.4667,10.3142,-13.1408,35.4215,-6.10448,1.87072,17.565,-3.68401,12.8586
88,0,11.8868,-4.95286,7.58555,38.7989,-13.0962,-15.1286,104.557,-8.51832,-17.158,0.250638,-3.99726,17.5836,11.8868,4.95286,-7.58555,23.8779,9.98396,-13.3673,34.5401,-5.9814,1.56693,18.0804,-3.9257,13.7
89,0,11.7991,-4.86749,7.40291,40.4415,-12.8593,-14.7356,104.163,-8.51402,-16.7995,0.944874,-3.89582,17.1337,11.7991,4.86749,-7.40291,22.1768,9.57316,-13.4989,33.5364,-5.74829,1.22906,18.4685,-4.153,14.4856
90,0,11.6658,-4.74223,7.15131,41.9563,-12.5025,-14.4242,103.557,-8.57723,-16.4348,1.62713,-3.77244,16.5836,11.6658,4.74223,-7.15131,20.3815,9.0973,-13.5419,32.4251,-5.41409,0.836108,18.7137,-4.36747,15.2216
91,0,11.496,-4.58169,6.83394,43.3403,-12.0345,-14.194,102.741,-8.70514,-16.0749,2.29022,-3.63211,15.9539,11.496,4.58169,-6.83394,18.5108,8.57174,-13.5038,31.2185,-4.99164,0.357839,18.8027,-4.57513,15.9292
92,0,11.299,-4.39018,6.45317,44.5914,-11.4634,-14.0419,101.715,-8.89465,-15.7341,2.92754,-3.48119,15.2723,11.299,4.39018,-6.45317,16.5827,8.01124,-13.399,29.9271,-4.4984,-0.241286,18.7242,-4.78615,16.643
93,0,11.083,-4.17031,6.01261,45.7056,-10.7975,-13.9641,100.477,-9.14156,-15.4156,3.53197,-3.32453,14.5598,11.083,4.17031,-6.01261,14.6121,7.42856,-13.2439,28.5592,-3.95368,-0.991699,18.4669,-5.01153,17.3993
94,0,10.8569,-3.92463,5.5159,46.6814,-10.0447,-13.9528,99.0255,-9.43871,-15.1239,4.10209,-3.16734,13.8402,10.8569,3.92463,-5.5159,12.6147,6.83576,-13.058,27.1228,-3.37798,-1.9204,18.0223,-5.26348,18.237
95,0,10.6283,-3.65421,4.96717,47.5182,-9.21304,-14.0046,97.3609,-9.78272,-14.8618,4.63424,-3.01479,13.1374,10.6283,3.65421,-4.96717,10.6038,6.24228,-12.8628,25.6258,-2.79177,-3.04828,17.3806,-5.55468,19.1949
96,0,10.4031,-3.3601,4.37039,48.211,-8.3096,-14.1121,95.4774,-10.1661,-14.6209,5.12856,-2.86969,12.4652,10.4031,3.3601,-4.37039,8.59063,5.65583,-12.682,24.0763,-2.21434,-4.38751,16.5328,-5.89761,20.3083
97,0,10.187,-3.04401,3.72962,48.7591,-7.34159,-14.2521,93.3742,-10.5664,-14.3895,5.58534,-2.73406,11.8335,10.187,3.04401,-3.72962,6.58692,5.08341,-12.5411,22.4846,-1.66354,-5.93851,15.4685,-6.30329,21.6041
98,0,9.98404,-2.70723,3.0504,49.1634,-6.31788,-14.4299,91.0531,-10.9889,-14.176,6.00614,-2.61415,11.2726,9.98404,2.70723,-3.0504,4.60212,4.53021,-12.4652,20.8624,-1.1546,-7.68913,14.174,-6.78087,23.099
99,0,9.79658,-2.35187,2.33726,49.4211,-5.24649,-14.6188,88.5117,-11.4066,-13.9659,6.39319,-2.51095,10.788,9.79658,2.35187,-2.33726,2.64491,4.00074,-12.4768,19.2237,-0.698568,-9.61507,12.6314,-7.33574,24.7932
100,0,9.62684,-1.98045,1.59663,49.5353,-4.13801,-14.8138,85.755,-11.8132,-13.7692,6.75016,-2.43076,10.4104,9.62684,1.98045,-1.59663,0.725261,3.49891,-12.5965,17.5854,-0.304087,-11.6791,10.8172,-7.96955,26.6708
